knapPI_6_5000_10000_1
5000
246112
246112
time 0.00
1,485,485,1
2,5094,5094,0
3,6326,6326,0
4,4506,4506,0
5,9248,9248,0
6,4416,4416,0
7,5421,5421,0
8,992,992,0
9,322,322,0
10,6649,6649,0
11,5795,5795,0
12,9237,9237,0
13,8043,8043,0
14,6457,6457,0
15,2845,2845,0
16,7815,7815,0
17,4955,4955,0
18,9446,9446,0
19,9252,9252,0
20,3422,3422,0
21,1009,1009,0
22,8791,8791,0
23,5901,5901,0
24,9359,9359,0
25,1122,1122,0
26,5667,5667,0
27,1094,1094,0
28,1598,1598,0
29,8738,8738,0
30,2007,2007,0
31,8574,8574,0
32,544,544,0
33,5715,5715,0
34,5334,5334,0
35,8882,8882,0
36,2766,2766,0
37,1367,1367,0
38,3994,3994,0
39,9984,9984,0
40,9893,9893,0
41,3299,3299,0
42,2633,2633,0
43,9433,9433,0
44,7131,7131,0
45,5682,5682,0
46,5428,5428,0
47,72,72,0
48,6700,6700,0
49,7874,7874,0
50,617,617,0
51,138,138,0
52,5874,5874,0
53,3856,3856,0
54,7720,7720,0
55,7145,7145,0
56,4419,4419,0
57,7995,7995,0
58,9794,9794,0
59,1529,1529,0
60,8196,8196,0
61,6199,6199,0
62,5997,5997,0
63,3277,3277,0
64,3116,3116,0
65,97,97,0
66,5908,5908,0
67,9719,9719,0
68,5539,5539,0
69,5242,5242,0
70,5707,5707,0
71,6107,6107,0
72,8569,8569,0
73,1122,1122,0
74,5537,5537,0
75,1070,1070,0
76,931,931,0
77,6098,6098,0
78,5726,5726,0
79,3600,3600,0
80,5487,5487,0
81,6645,6645,0
82,9772,9772,0
83,7267,7267,0
84,7513,7513,0
85,1972,1972,0
86,2081,2081,0
87,9895,9895,0
88,9943,9943,0
89,3213,3213,0
90,8058,8058,0
91,9748,9748,0
92,4303,4303,0
93,9487,9487,0
94,3764,3764,0
95,1923,1923,0
96,6536,6536,0
97,7029,7029,0
98,724,724,0
99,5674,5674,0
100,3789,3789,0
101,8540,8540,0
102,7479,7479,0
103,5554,5554,0
104,2142,2142,0
105,2467,2467,0
106,8339,8339,0
107,7046,7046,0
108,8641,8641,0
109,9710,9710,0
110,3196,3196,0
111,553,553,0
112,1494,1494,0
113,3191,3191,0
114,4066,4066,0
115,8724,8724,0
116,824,824,0
117,5730,5730,0
118,9208,9208,0
119,6988,6988,0
120,9711,9711,0
121,2090,2090,0
122,8800,8800,0
123,9340,9340,0
124,3314,3314,0
125,7549,7549,0
126,6289,6289,0
127,4196,4196,0
128,9401,9401,0
129,865,865,0
130,1466,1466,0
131,9678,9678,0
132,2689,2689,0
133,5570,5570,0
134,6833,6833,0
135,4936,4936,0
136,5225,5225,0
137,3722,3722,0
138,6244,6244,0
139,3651,3651,0
140,3849,3849,0
141,6123,6123,0
142,8113,8113,0
143,1431,1431,0
144,3379,3379,0
145,8508,8508,0
146,7361,7361,0
147,7585,7585,0
148,2065,2065,0
149,1853,1853,0
150,7486,7486,0
